geoid,PCSA,doc,pop
1001020100,1001020500,0,1912
1001020200,1001020500,1,2170
1001020300,1001020500,4,3373
1001020400,1001020500,1,4386
1001020500,1001020500,11,10766
1001020600,1001020500,0,3668
1001020700,1001020500,0,2891
1001020801,1001020500,0,3081
1001020802,1001020500,2,10435
1001020900,1001020500,0,5675
1001021000,1001020500,0,2894
1001021100,1001020500,2,3320
1003010100,1003010500,1,3804
1003010200,1003010500,0,2902
1003010300,1003010500,1,7826
1003010400,1003010500,2,4736
1003010500,1003010500,9,4815
1003010600,1003010500,0,3325
1003010701,1097000901,4,7882
1003010703,1003010705,7,13166
1003010704,1003010705,0,5055
1003010705,1003010705,13,8331
1003010800,1003010705,1,6861
1003010903,1003010904,2,5173
1003010904,1003010904,1,6831
1003010905,1003010904,1,8011
1003010906,1003010904,0,4302
1003011000,1003011502,1,4305
1003011101,1003011202,1,8397
1003011102,1003011202,6,3715
1003011201,1003011202,9,4230
1003011202,1003011202,22,5065
1003011300,1003011202,0,4487
1003011401,1003011502,2,10632
1003011403,1003011406,3,9131
1003011405,1003011406,0,3832
1003011406,1003011406,5,3412
1003011407,1003011407,5,4799
1003011408,1003011407,0,433
1003011501,1003011502,9,5316
1003011502,1003011502,10,10534
1003011601,1003011602,0,6062
1003011602,1003011602,4,4895
1003990000,-80,0,0
1005950100,1005950700,3,3321
1005950200,1005950700,1,4264
1005950300,1005950700,0,1638
1005950400,1045020500,1,4303
1005950500,1005950700,0,3467
1005950600,1005950700,1,2099
1005950700,1005950700,6,1727
1005950800,1005950700,1,2055
1005950900,1005950700,1,4583
1007010001,1073014105,1,2732
1007010002,1073014105,1,6025
1007010003,1007010003,5,5391
1007010004,1007010003,5,8767
1009050101,1009050102,10,7858
1009050102,1009050102,4,7050
1009050200,1009050200,1,3789
1009050300,1055011100,0,5269
1009050400,1055011100,0,4451
1009050500,1043964200,1,7329
1009050601,1073011705,0,3922
1009050602,1073011705,0,8923
1009050700,1073011104,0,8731
1011952100,1011952200,0,1434
1011952200,1011952200,4,7102
1011952500,1109188700,0,2378
1013952700,1013953100,0,2439
1013952800,1013953100,2,1394
1013952900,1013953100,0,2180
1013953000,1013953100,0,1469
1013953100,1013953100,0,3023
1013953200,1013953100,4,4327
1013953300,1013953300,0,1774
1013953400,1013953300,3,2931
1013953500,1013953300,0,1410
1015000200,1015000200,17,3104
1015000300,1015000200,0,2951
1015000400,1015000200,0,2812
1015000500,1015000200,0,1814
1015000600,1015000200,0,2191
1015000700,1015000200,1,2715
1015000800,1015000200,20,1379
1015000900,1015000200,1,3362
1015001000,1015000200,1,5792
1015001100,1015000200,4,6565
1015001201,1015000200,5,3482
1015001202,1015000200,0,4318
1015001300,1015000200,0,2211
1015001400,1015000200,0,3731
1015001500,1015000200,0,5198
1015001600,1015000200,0,3791
1015001700,1015000200,0,6329
1015001800,1015000200,2,6919
1015002000,1015000200,4,7335
1015002101,1015002103,1,3992
1015002102,1015002103,1,3411
1015002103,1015002103,7,6801
1015002200,1015002200,3,3652
1015002300,1015002200,0,3843
1015002400,1015002103,0,4518
1015002501,1015000200,2,7069
1015002502,1055001200,0,4661
1015002600,1015002600,1,4615
1015981901,1015000200,0,6
1015981902,1015000200,0,5
1015981903,1015000200,0,0
1017953800,13285960300,0,3619
1017953900,1017954600,0,2900
1017954000,1081041100,3,6669
1017954200,1017954600,0,3257
1017954300,1017954600,0,4708
1017954400,1017954600,0,995
1017954500,1017954600,1,3804
1017954600,1017954600,13,3411
1017954700,1017954600,0,4852
1019955701,1019956000,0,3332
1019955702,1019956000,1,3872
1019955800,1019956000,1,5561
1019955900,1019956000,0,4235
1019956000,1019956000,7,4017
1019956100,1019956000,0,4972
1021060101,1021060102,1,5219
1021060102,1021060102,9,6303
1021060200,1021060102,0,2807
1021060300,1021060102,0,3808
1021060401,1021060102,1,5466
1021060402,1021060402,1,8776
1021060500,1021060102,1,2902
1021060600,1021060102,0,3261
1021060700,1021060102,0,5101
1023956700,1023956800,0,3184
1023956800,1023956800,2,4423
1023956900,1023956800,2,3879
1023957000,1023956800,0,2373
1025957500,1025957800,0,1760
1025957601,1025957602,2,998
1025957602,1025957602,4,5515
1025957700,1025957602,0,1329
1025957800,1025957800,2,5488
1025957901,1025957902,0,3493
1025957902,1025957902,9,4230
1025958001,1025957902,0,1289
1025958002,1025957902,0,1731
1027958900,1027959100,2,5324
1027959000,1027959100,1,3224
1027959100,1027959100,1,2904
1027959200,1027959100,0,2480
1029959500,13143010400,0,2684
1029959600,1029959600,2,4202
1029959700,1015000200,0,3419
1029959800,13045911100,0,4667
1031010100,1031010500,0,2057
1031010200,1031010900,0,1841
1031010300,1031010900,0,4258
1031010400,1031010500,0,2152
1031010500,1031010500,3,4558
1031010600,1039962400,0,1561
1031010700,1031010900,0,2286
1031010800,1031010900,0,2840
1031010900,1031010900,3,2117
1031011000,1031010900,0,3526
1031011100,1031010900,18,2026
1031011201,1031010900,0,8036
1031011202,1031010900,2,8530
1031011300,1031010900,0,4160
